Customer ID,Order ID,Customer Name,City,State
aa565b27,09feb8d6,Ms. Jodi Baker,Jenniferchester,Virginia
169680ea,1d6126b7,Eric David,Lake Michaelberg,North Carolina
e1a0f3a1,41d88ea1,Marc Adams,New Margaret,Virginia
cc6fbbe6,757e1ef0,Julie Martin,Robbinsstad,North Dakota
5ba6e660,76cc3008,Grace Guerra,South Alexandertown,Georgia
76150ea8,537fb776,Kenneth Fischer,Daniellefort,Iowa
eec65a29,1c5e0946,Vanessa Smith,Port Karenview,Kentucky
474a5870,2aaf24d9,Lisa Carroll,East Jenniferville,Washington
2ee1f7d4,1bc69cd3,Sarah Blair,Barrettside,Rhode Island
7908fcf1,bf1588d9,April Molina,West Ryan,Iowa
631edf4f,35b67d49,Jennifer Hartman,Vaughnside,Iowa
954adec3,19db25ae,Christopher Lamb,Kirbyborough,Alabama
f0b2a15a,46bc2bc0,Kevin Rojas,Aaronborough,Ohio
9ff9abe6,dd63a4bf,Tricia Larson,Florestown,West Virginia
03970da9,7a8ed83c,Emily Schmitt,Rodgersside,Minnesota
66d71a6f,879eaa4d,Tristan Ramirez,South Seantown,Connecticut
d8768f9b,3c36d2b2,Carl Gregory,Powerschester,Hawaii
014a77a7,30553401,Joyce Morales,South Adamchester,Wyoming
186bb5cc,db67eb87,Melissa Jenkins,East David,Rhode Island
b3d22d32,f16395f1,Keith Price,Amandaville,Alabama
ffad4ad8,a4e9223d,Dr. Melvin Pena,Josephville,Wyoming
a99e9005,d80019f9,Katrina Patrick,West Kathleenchester,Wyoming
031d173f,09e30293,Michael Nichols,Davidville,North Carolina
55584056,4e0caaaa,Brenda Rogers,Nathanbury,Virginia
210e1531,9f77e938,Wendy Pearson,Dawnmouth,Kentucky
140ebbe3,4dd8de0e,Jason Cox,North Jennifer,Connecticut
4d7658a3,39419778,Sara Strickland,East Jose,Washington
f37f320d,e4c94b25,Maria French,Lake Zachary,Nebraska
bc30fee0,55980a5d,Lauren Williams,Justinfort,North Dakota
c9e63040,045233f4,Carrie Pratt,Cohenport,Vermont
168b4adc,58d8bb77,Jason Parker,Jonathanberg,Florida
f07613b3,284e666f,Robert Rodriguez,Veronicaborough,New Hampshire
744cdad1,9ca51fa9,Cheryl Tran,Lake Cherylport,New Hampshire
4e1eaf72,dc657502,Dawn Phillips,South Jameschester,Ohio
3ebdbaf9,155fde63,Bernard Randolph,Port Nicoleville,Michigan
e16c3310,c1501f8f,Jonathan Turner,North Julie,Florida
